Vocabulary,PartOfSpeech,Meaning,Example,Pronounce
jejune,adjective,"understanding or describing something in a way that is too simple, naïve or simplistic",He made jejune generalizations about how all students were lazy and never did any work.,
jubilation,adjective,"a feeling of great happiness, triumph or joy",There was jubilation in the crowd as the winning goal was scored.,
juxtaposition,noun,two things placed beside each other for the sake of implicit comparison,An odd juxtaposition of talents worked exceedingly well on the project.,
laudable,adjective,deserving praise and commendation. Something or someone who does the right thing or morally proper action,"The recycling programme is laudable, but does it save much money?",
lobbying,noun,the act of trying to persuade goverments to make decisions or support something. People who lobby is called lobbyists,In her speech she stressed that she is not involved in the firm's lobbying of Congress.,
longevity,noun,the fact of havig a long life or existence,To what do you attribute your longevity?,
loquacious,adjective,talking or tending to talk a great deal or freely; talkative; garrulous,Someone who is loquacious talks a lot.,
ludicrous,adjective,"so foolish, stupid, ureasonable, or inappropriate as to be amusing; ridiculous",He looked ludicrous in that suit!,
lucid,adjective,very clear and easy to understand,She gave a clear and lucid account of her plans for the company's future.,
maddeing,adjective,extremely anoying or displeasing,She has a maddening habit of interrupting me when I'm talking to her.,
memoradum,noun,a short written report prepared specially for a person or group of people that contains information about a particular matter,Michael Davis has prepared a memorandum outlining our need for an additional warehouse.,
mercurial,noun,rapid change or temperament; sudden or unpredictable changes of mood or mind (often change),"She was entertaining but unpredictable, with mercurial mood swings.",
metaphor,noun,a figure of speech that directly refers to one thing by mentioning another for rhetorical effect. It does not use a word in its basic literal sense.,Metaphor and simile are the most commonly used figures of speech in everyday language.,
mettle,adjective,a person's ability to cope well with difficulties; strong-willed,The real test of her political mettle came in the May elections.,
alliance,noun,"a group of countries, political parties, or people who have agreed to work together because of shared interests or aims",NATO is sometimes called the Atlantic Alliance.,
misanthropy,noun,"a general hatred, dislike, distrust or contempt of human species or human nature",The only way I can express my misanthropy is through humour.,
modicum,noun,a small quantity of a particular thing (such as truth or quality),Anyone with a modicum of common sense could have seen that the plan wouldn't work.,
moratorium,noun,a stopping of an activity for an agreed amount of time: ,"A moratorium maintains both treatment and insurance opportunities for individuals, but imposes adverse selection costs on the insurance industry.",https://dictionary.cambridge.org/media/english/us_pron/m/mor/morat/moratorium.mp3
mundane,adjective,very ordinary and therefore not interesting: ,"No call to care, finally, could be too mundane; what could be more ordinary than peeling an egg?",https://dictionary.cambridge.org/media/english/us_pron/m/mun/munda/mundane.mp3
mutter,verb,"to speak quietly and in a low voice that is not easy to hear, often when you are worried or…","If he thought something interesting, he would desert what he was doing and amble off to meditate on the new idea, muttering to himself as he walked.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73143.mp3
nomenclature,noun,"a system for naming things, especially in a particular area of science: ",This is evident in changes of the nomenclature of family planning board to family welfare organization.,https://dictionary.cambridge.org/media/english/us_pron/n/nom/nomen/nomenclature.mp3
nonchalant,adjective,"behaving in a calm manner, often in a way that suggests you are not interested or do not care…","The government could not rush through unpopular policies in its familiar nonchalant fashion, as it had ridden roughshod over civil society in the 1980s.",https://dictionary.cambridge.org/media/english/us_pron/n/non/nonch/nonchalant.mp3
novice,noun,a person who is not experienced in a job or situation: ,"Furthermore, the approach to building a language by syntactic expansion into a small set of core features is more subtle than most novices realize.",https://dictionary.cambridge.org/media/english/us_pron/n/nov/novic/novice.mp3
nugatory,adjective,worth nothing or of little value: ,The fact that joint exercise of sovereignty has been found advantageous in certain cases did not mean that separate exercise would be nugatory.,https://dictionary.cambridge.org/media/english/us_pron/u/usn/usnub/usnub__006.mp3
obfuscation,noun,"the act of making something less clear and less easy to understand, especially intentionally, or…","To sum up, this book is very clearly written and presented throughout, and refreshingly free of jargon and conceptual obfuscation.",https://dictionary.cambridge.org/media/english/us_pron/u/usn/usnym/usnymph019.mp3
oblivion,noun,the state of being completely forgotten: ,"Nevertheless, although textual insistence that the installation's time is independent of the 'oblivion' beyond becomes clear, the role of the whisper cannot be purely linguistic.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75106.mp3
obloquy,noun,very strong public criticism or blame: ,They were of course used to obloquy.,https://dictionary.cambridge.org/media/english/us_pron/c/cdo/cdo03/cdo0318usoblo3348.mp3
obsequious,adjective,too eager to praise or obey someone: ,"Despite this air of officialdom in the presentation, not all are obsequious accounts.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75115.mp3
obstreperous,adjective,difficult to deal with and noisy: ,"The first, indicated by the title, was to present a rendition of an obstreperous female unwillingly subjected to male correction and control.",https://dictionary.cambridge.org/media/english/us_pron/u/uso/usobs/usobser008.mp3
odious,adjective,extremely unpleasant and causing or deserving hate: ,"In reviews, odious comparisons are sometimes drawn between the book under review and others whose worth is known.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75158.mp3
opaque,adjective,"preventing light from travelling through, and therefore not transparent or translucent:  2…",Transparent metaphors exibit clearer conceptual similarities between the target and source domains than opaque metaphors.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75226.mp3
orthodoxy,noun,the generally accepted beliefs of society at a particular time: ,,https://dictionary.cambridge.org/media/english/us_pron/u/uso/usorg/usorgan016.mp3
ostentation,noun,the quality of being ostentatious: ,"Late prehistoric ostentation, by contrast, was aimed at a larger audience and there is no sign of an exclusive elite culture.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75316.mp3
outbreak,noun,"a time when something suddenly begins, especially a disease or something else dangerous or…","Most cases of mycoplasma outbreaks occurred in schools (22), among family members (13), and military recruits (10).",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75331.mp3
outlier,noun,"a person, thing, or fact that is very different from other people, things, or facts, so that it…","Outliers that arise simply from the skewness of the distribution can be removed, and previously hidden outliers may be forced into view.",https://dictionary.cambridge.org/media/english/us_pron/c/cdo/cdo03/cdo0318usoutl3469.mp3
outmoded,adjective,"no longer modern, useful, or necessary: ","Maybe, you will say, narratives are outmoded and unrealistic at the grand scale.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75362.mp3
oxymoron,noun,"two words or phrases used together that have, or seem to have, opposite meanings: ",The genre of 'historical fiction' is an oxymoron to begin with.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75854.mp3
paradigm,noun,"a model of something, or a very clear and typical example of something: ",The cooling paradigm also permitted rapid reversal and repeated demonstration of deficits in the same testing session.,https://dictionary.cambridge.org/media/english/us_pron/p/par/parad/paradigm.mp3
parched,adjective,(especially of earth or crops) dried out because of too much heat and not enough rain:  2…,,https://dictionary.cambridge.org/media/english/us_pron/p/par/parch/parched.mp3
parsimonious,adjective,not willing to spend money or to give or use a lot of something: ,The exclusion of the uninformative characters does not change the resulting most parsimonious trees.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73431.mp3
peremptory,adjective,expecting to be obeyed immediately and without any questions: ,"With the peremptory norm, in particular, we leave behind the world of democratically decided actions to be monitored and reviewed.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73492.mp3
perfidious,adjective,"unable to be trusted, or showing no loyalty: ",They abhor the perfidious means by which they have been deprived of the humanist decalogue.,https://dictionary.cambridge.org/media/english/us_pron/u/usp/usper/uspereg006.mp3
perpetual,adjective,continuing for ever in the same way: ,Miles are walked in exchange for a feeling of perpetual defeat.,https://dictionary.cambridge.org/media/english/us_pron/p/per/perpe/perpetual.mp3
pert,adjective,"attractively small and firm, as a description of a part of the body: ",,https://dictionary.cambridge.org/media/english/us_pron/p/per/pert_/pert.mp3
placate,verb,to stop someone from feeling angry: ,"To placate his enemies, restrictions on the freedom of the press were first eased and then abolished.",https://dictionary.cambridge.org/media/english/us_pron/p/pla/placa/placate.mp3
plethora,noun,"a very large amount of something, especially a larger amount than you need, want, or can deal…","This conflicting opinion, together with complex cultural and socioeconomic issues surrounding wetlands, has given rise to a plethora of views on how to develop wetlands.",https://dictionary.cambridge.org/media/english/us_pron/p/ple/pleth/plethora.mp3
polemic,noun,a piece of writing or a speech in which a person strongly attacks or defends a particular…,This point is what separates rhetorical practice from the polemics of dialecticians.,https://dictionary.cambridge.org/media/english/us_pron/p/pol/polem/polemic.mp3
postulate,verb,"to suggest a theory, idea, etc. as a basic principle from which a further idea is formed or…",They are also postulated to stimulate other cells for granuloma formation.,https://dictionary.cambridge.org/media/english/us_pron/p/pos/postu/postulate.mp3
pragmatic,adjective,"solving problems in a sensible way that suits the conditions that really exist now, rather than…","This is a detailed and meticulous study, which combines sociolinguistic methodology with a qualitative pragmatics approach.",https://dictionary.cambridge.org/media/english/us_pron/p/pra/pragm/pragmatic.mp3
prattle,verb,to talk in a silly way or like a child for a long time about things that are not important or…,"Anyone can prattle nonsense, and they'll always be able to find people to believe it, especially if they can dress it up in superstitious flummery.",https://dictionary.cambridge.org/media/english/us_pron/u/usp/uspr_/uspr___014.mp3
preamble,noun,an introduction to a speech or piece of writing,"The proposals incorporate preambles which set out the legal, practical and economic grounds for their substantive provisions.",https://dictionary.cambridge.org/media/english/us_pron/p/pre/pream/preamble.mp3
precipitate,verb,to make something happen suddenly or sooner than expected: ,"In the absence of the complementary globin chains, the excess unbound - or -globin protein aggregates and precipitates, damaging cell membranes and leading to premature destruction.",https://dictionary.cambridge.org/media/english/us_pron/p/pre/preci/precipitate.mp3
preponderance,noun,the largest part or greatest amount: ,"The gender ratio was equal, and significantly different from the female preponderance in unipolar disorder.",https://dictionary.cambridge.org/media/english/us_pron/p/pre/prepo/preponderance.mp3
presumption,noun,the act of believing that something is true without having any proof: ,"What is more, there is a presumption that what is necessary is also sufficient.",https://dictionary.cambridge.org/media/english/us_pron/p/pre/presu/presumption.mp3
prevaricate,verb,to avoid telling the truth or saying exactly what you think: ,Judges do not like to prevaricate and do not like to put other judges in a position where they must prevaricate.,https://dictionary.cambridge.org/media/english/us_pron/u/usp/uspre/uspresu010.mp3
procrastination,noun,"the act of delaying something that must be done, often because it is unpleasant or boring:  2…","Vacillation and procrastination, out of fears of recession or otherwise, would run grave risks.",https://dictionary.cambridge.org/media/english/us_pron/u/usp/uspri/usprint025.mp3
proliferation,noun,the fact of something increasing a lot and suddenly in number or amount: ,,https://dictionary.cambridge.org/media/english/us_pron/p/pro/proli/proliferation.mp3
prosaic,adjective,"without interest, imagination, and excitement: ","Seeing is prosaic, listening poetic19 - and 'no colour can ever be as romantic as a tone'.",https://dictionary.cambridge.org/media/english/us_pron/p/pro/prosa/prosaic.mp3
prostration,noun,"the act or position of lying with the face down and arms stretched out, especially as a sign of…",,https://dictionary.cambridge.org/media/english/us_pron/u/usp/uspro/usprosp004.mp3
protract,verb,to make something last for a long time or last longer than necessary: ,,https://dictionary.cambridge.org/media/english/us_pron/u/usp/uspro/usprosp017.mp3
prudent,adjective,careful and avoiding risks: ,Because of the risk of early adult death or invalidity it was prudent for families to maximize the earning potential of all family members.,https://dictionary.cambridge.org/media/english/us_pron/p/pru/prude/prudent.mp3
puerile,adjective,"behaving in a silly way, not like an adult: ","The sequence of positions in the abysmal container of intuitive space, far from creating the idea of infinite, constitutes an almost puerile delusion of impotence.",https://dictionary.cambridge.org/media/english/us_pron/u/usp/uspt_/uspt___012.mp3
quaff,verb,to drink something quickly or in large amounts,"Your cup full, you quaff the cool refreshing draught and give thanks.",https://dictionary.cambridge.org/media/english/us_pron/u/usp/uspyr/uspyrom022.mp3
querulous,adjective,"often complaining, especially in a weak high voice: ","The book begins to sound a bit querulous, and in the end the disinterested reader feels he or she is moving in circles.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73806.mp3
quintessence,noun,the most typical example: ,Meaning is not extracted from the complex flow of visual and aural information as if it were a quintessence refined by the production's alchemy.,https://dictionary.cambridge.org/media/english/us_pron/u/usq/usqui/usquin_004.mp3
quixotic,adjective,having or showing ideas that are different and unusual but not practical or likely to succeed…,To suggest that the record company will simply dissolve because of online delivery is quixotic.,https://dictionary.cambridge.org/media/english/us_pron/q/qui/quixo/quixotic.mp3
rancorous,adjective,having or showing a feeling of hate and continuing anger about something in the past: ,"Moreover, rancorous disputes might also arise where officials failed to provide adequate information or stick to an agreed plan of action.",https://dictionary.cambridge.org/media/english/us_pron/r/ran/ranco/rancorous.mp3
ratification,noun,the process of making an agreement official: ,Research articles and research theses constitute two key genres used by scientific communities for the dissemination and ratification of knowledge.,https://dictionary.cambridge.org/media/english/us_pron/r/rat/ratif/ratification.mp3
reclusive,adjective,living alone and avoiding going outside or talking to other people: ,"Reclusive, with a natural inclination to string-pulling behind the scenes he, nevertheless, occasionally forayed into the world of civic duty.",https://dictionary.cambridge.org/media/english/us_pron/u/usr/usrea/usreaso026.mp3
recondite,adjective,not known about by many people and difficult to understand: ,"It is noteworthy, amongst many reasons, for its fluency in the idioms of ecology and social science as well as more recondite post-structuralism.",https://dictionary.cambridge.org/media/english/us_pron/u/usr/usrea/usreaso030.mp3
refurbish,verb,"to make a building look new again by doing work such as painting, repairing, and cleaning:  2…","Subsequently, careful inspection, cleaning, and reassembly of the components had to be carried out, as well as refurbishing some of the optics.",https://dictionary.cambridge.org/media/english/us_pron/r/ref/refur/refurbish.mp3
refute,verb,"to say or prove that a person, statement, opinion, etc. is wrong or false: ",Further studies are thus required to confirm or refute this association.,https://dictionary.cambridge.org/media/english/us_pron/r/ref/refut/refute.mp3
relativism,noun,the belief that truth and right and wrong can only be judged in relation to other things and…,We would contend that a sweeping statement of the relationship between epistemological and moral relativism is inadequate.,https://dictionary.cambridge.org/media/english/us_pron/c/cdo/cdo03/cdo0318usrela4098.mp3
renovation,noun,"the act or process of repairing and improving something, especially a building: ","The full utilization of existing private production facilities, with some renovation, was assumed to be sufficient at this stage.",https://dictionary.cambridge.org/media/english/us_pron/r/ren/renov/renovation.mp3
repudiate,verb,"to refuse to accept something or someone as true, good, or reasonable: ","Nevertheless, in contrast to the 1920s, the employers refrained from direct attacks on the union, and the framework of collective bargaining was never repudiated.",https://dictionary.cambridge.org/media/english/us_pron/r/rep/repud/repudiate.mp3
resilient,adjective,"able to be happy, successful, etc. again after something difficult or bad has happened: ","If the hammer were still threatening it into destruction, it would bounce back on this plastic and resilient network.",https://dictionary.cambridge.org/media/english/us_pron/r/res/resil/resilient.mp3
rubicon,noun,to do something that you cannot later change and will strongly influence future events: ,,https://dictionary.cambridge.org/media/english/us_pron/c/cus/cus01/cus01747.mp3
sacrosanct,adjective,thought to be too important or too special to be changed: ,"Moreover, by constant repetition of the brilliance of her work it has become sacrosanct, to the extent that any criticism of it is invariably quashed.",https://dictionary.cambridge.org/media/english/us_pron/s/sac/sacro/sacrosanct.mp3
sanctum,noun,a private place or room where someone is never interrupted,"He was of the faith; in fact, he was apparently summoned to meet the presence in the inner sanctum.",https://dictionary.cambridge.org/media/english/us_pron/u/uss/ussam/ussamar015.mp3
sardonic,adjective,humorous in an unkind way that shows you do not respect someone or something: ,He could be wry and sardonic about the claims of religious faith - but just as wary of metaphysical or ideological faith.,https://dictionary.cambridge.org/media/english/us_pron/s/sar/sardo/sardonic.mp3
schism,noun,"a division into two groups caused by a disagreement about ideas, especially in a religious…",,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74090.mp3
scrupulous,adjective,extremely honest : ,"Although many reputable groups are scrupulous about avoiding any strings that might be attached to industry funding, not all are so fastidious.",https://dictionary.cambridge.org/media/english/us_pron/s/scr/scrup/scrupulous.mp3
scrutinize,verb,to examine something very carefully in order to discover information: ,"Existing ethnic and civic practices should be scrutinized, and only those which secure the reasoned acceptance of all those affected by it should be upheld.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74109.mp3
shatter,verb,to (cause something to) break suddenly into very small pieces: ,"The renewed fighting has shattered years of negotiations, but more importantly, robbed its citizens of trusting the other side and of the peace process.",https://dictionary.cambridge.org/media/english/us_pron/s/sha/shatt/shatter.mp3
spurious,adjective,"false and not what it appears to be, or (of reasons and judgments) based on something that has…","But it is of the nature of both art and ghosts, even ""spurious"" ones, to refuse to solve the riddle.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74350.mp3
stagnation,noun,a situation in which something stays the same and does not grow and develop: ,"In terms of recreation, culture, education, and even rural industries, the period was characterised as much by development and change as by stagnation and decline.",https://dictionary.cambridge.org/media/english/us_pron/s/sta/stagn/stagnation.mp3
status quo,noun,the present situation,Certain people always want to maintain the status quo,
strident,adjective,"A strident sound is loud, unpleasant, and rough: ",Strident signals about implementing a campaign agenda or systematic displays of bipartisanship alone could highlight questions of legitimacy.,https://dictionary.cambridge.org/media/english/us_pron/s/str/strid/strident.mp3
superficial,adjective,(of a person) never thinking about things that are serious or important: ,,https://dictionary.cambridge.org/media/english/us_pron/s/sup/super/superficial.mp3
supplicant,noun,a person who asks a god or someone who is in a position of power for something in a humble way…,"Meanwhile, the main tasks of lowranking officers often appear to be collecting tolls from drivers and supplicants, and waiting for something to happen.",https://dictionary.cambridge.org/media/english/us_pron/u/uss/ussup/ussuper105.mp3
synecdoche,noun,"a word or phrase in which a part of something is used to refer to the whole of it, for example…","In these accounts, the factory product is a synecdoche for the entire empire-wide and subject-deep factory system.",https://dictionary.cambridge.org/media/english/us_pron/c/cdo/cdo03/cdo0318ussyne4902.mp3
synergy,noun,the combined power of a group of things when they are working together that is greater than the…,"However, the possible synergy between this and the epistemological and political challenges from other people, is not being studied.",https://dictionary.cambridge.org/media/english/us_pron/u/uss/ussym/ussymph014.mp3
taboo,noun,"a subject, word, or action that is avoided for religious or social reasons: ",,https://dictionary.cambridge.org/media/english/us_pron/t/tab/taboo/taboo.mp3
taciturn,adjective,tending not to speak much: ,"What is more, several mammal species including the taciturn koala have it permanently lowered.",https://dictionary.cambridge.org/media/english/us_pron/t/tac/tacit/taciturn.mp3
tautology,noun,"the use of two words or phrases that express the same meaning, in a way that is unnecessary and…","This statement is not a tautology, but one that purports to add to our understanding of the causal role of anger.",https://dictionary.cambridge.org/media/english/us_pron/u/ust/ustat/ustat__014.mp3
teeming,adjective,"If a place is teeming, it is full of people: ",,https://dictionary.cambridge.org/media/english/us_pron/t/tee/teemi/teeming.mp3
tenacious,adjective,"holding tightly onto something, or keeping an opinion in a determined way: ","The steep learning curve is daunting, and even experienced developers find that modifying existing passes is difficult and often introduces subtle and tenacious bugs.",https://dictionary.cambridge.org/media/english/us_pron/t/ten/tenac/tenacious.mp3
terrestrial,adjective,relating to the earth,"Vertebrate remains are decidedly patchy, particularly the terrestrial species.",https://dictionary.cambridge.org/media/english/us_pron/t/ter/terre/terrestrial.mp3
tortuous,adjective,with many turns and changes of direction; not direct or simple: ,Indentations in the repaired region leave a somewhat tortuous lumen.,https://dictionary.cambridge.org/media/english/us_pron/t/tor/tortu/tortuous.mp3
transcendental,adjective,"A transcendental experience, event, object, or idea is extremely special and unusual and cannot…",In this case the implementations of functions use interval arithmetic and approximations to transcendental functions that get more accurate as the input interval shrinks.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74602.mp3
unkempt,adjective,untidy; not cared for: ,"Curly grey hair, wild and unkempt, barefoot on this cold day, wearing a partially unravelled pullover and ancient cord trousers.",https://dictionary.cambridge.org/media/english/us_pron/u/unk/unkem/unkempt.mp3
utilitarianism,noun,the system of thought that states that the best action or decision in a particular situation is…,"First, egalitarians might measure inequality in ways that permit losses to the badly off that would be ruled out by utilitarianism and prioritarianism.",https://dictionary.cambridge.org/media/english/us_pron/u/usu/usuru/usurugu021.mp3
vacillate,verb,"to be uncertain what to do, or to change often between two opinions: ","However, he fails to see that even in a silent film the visual language of cinema can be equally vacillating and ambiguous.",https://dictionary.cambridge.org/media/english/us_pron/v/vac/vacil/vacillate.mp3
venerate,verb,to honour or very much respect a person or thing: ,"As such, they provide a tangible link with the celestial, especially when they are cared for, venerated and carried in procession.",https://dictionary.cambridge.org/media/english/us_pron/v/ven/vener/venerate.mp3
verisimilitude,noun,the quality of seeming true or of having the appearance of being real: ,"But in dramatic situations involving 'real music', verisimilitude invited musical expansiveness.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74829.mp3
vicarious,adjective,"experienced as a result of watching, listening to, or reading about the activities of other…",The relations of children's emotion regulation to their vicarious emotional responses and comforting behaviors.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74842.mp3
vicissitudes,noun,changes that happen at different times during the life or development of someone or something…,"But let me return to my muttons, that is to say the vicissitudes of processual archaeology.",https://dictionary.cambridge.org/media/english/us_pron/u/usv/usvga/usvga__021.mp3
vilify,verb,"to say or write unpleasant things about someone or something, in order to cause other people to…","Now that madrasahs are filling some of the unmet demand for schooling, they have been repeatedly vilified.",https://dictionary.cambridge.org/media/english/us_pron/v/vil/vilif/vilify.mp3
vindicate,verb,"to prove that what someone said or did was right or true, after other people thought it was…",The poet can not lose; whatever claims he makes for the momentousness of his subjectmatter are vindicated simply by the way those claims are made.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74855.mp3
vitriolic,adjective,full of violent hate and anger : ,"Her indifference to the question of gentility is surprising, particularly when considering many of the vitriolic contemporary opinions about women's work.",https://dictionary.cambridge.org/media/english/us_pron/v/vit/vitri/vitriolic.mp3
volatile,adjective,"likely to change suddenly and unexpectedly, especially by getting worse: ",It can be hypothesized that males seem to require both visual and volatile cues.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74891.mp3
wanton,adjective,"(of something bad, such as damage, cruelty, waste) extreme and showing no care at all: ",,https://dictionary.cambridge.org/media/english/us_pron/w/wan/wanto/wanton.mp3
watershed,noun,an event or period that is important because it represents a big change in how people do or…,Most analyses used data from the t wo watersheds combined.,https://dictionary.cambridge.org/media/english/us_pron/w/wat/water/watershed.mp3
wry,adjective,showing that you find a bad or difficult situation slightly funny: ,"They winced under their wry faces, afraid to stand and afraid to run away.",https://dictionary.cambridge.org/media/english/us_pron/r/rye/rye__/rye.mp3
zeal,noun,great enthusiasm or eagerness: ,"In their zeal to protect the city against the new outbreak, the authorities targeted the unsanitary subjects they suspected of spreading the disease.",https://dictionary.cambridge.org/media/english/us_pron/z/zea/zeal_/zeal.mp3
zeugma,noun,a use of language in which a word that has more than one meaning is used with one meaning in one…,"Instead, he considers explaining their oddity by a semantic incongruity akin to zeugma or syllepsis.",https://dictionary.cambridge.org/media/english/us_pron/c/cdo/cdo03/cdo0318uszeug5697.mp3
career,noun,"the job or series of jobs that you do during your working life, especially if you continue to…","Four subjects were given a formal problem, while two were trying to solve an intellectual problem relating to their own professional careers.",https://dictionary.cambridge.org/media/english/us_pron/c/car/caree/career.mp3
shiftwork,noun,a system in which different groups of workers work somewhere at different times of the day and…,Some services (such as the police) depend absolutely on shiftwork and unsocial hours.,https://dictionary.cambridge.org/media/english/us_pron/u/uss/usshe/ussheke016.mp3
unskilled,adjective,"Unskilled people have no particular work skills, and unskilled work does not need any particular…","For instance, in 1946 one specialized female worker earned practically the same as an unskilled worker.",https://dictionary.cambridge.org/media/english/us_pron/u/uns/unski/unskilled.mp3
skilled,adjective,having the abilities needed to do an activity or job well: ,The dies are not mass-produced commodities but hand-engraved and handcarved products of skilled craftsmen.,https://dictionary.cambridge.org/media/english/us_pron/u/usl/usl30/usl30288.mp3
accommodation,noun,"a place to live, work, stay, etc. in: ",Different perceptions of land claims and differing patterns of land use prevented the possibility of mutual accommodation.,https://dictionary.cambridge.org/media/english/us_pron/c/cal/cald4/cald4us0013.mp3
transport,noun,the movement of people or goods from one place to another: ,Such situations require fundamental knowledge of these interactions as a possible cause of anomalous transport phenomena in magnetized plasmas.,https://dictionary.cambridge.org/media/english/us_pron/t/tra/trans/transport_01_01.mp3
city centre,noun,the central part of a city: ,"This involved approaching potential subjects, on the day of the focus group session, in the city centre.",https://dictionary.cambridge.org/media/english/us_pron/c/cal/cald4/cald4us0399.mp3
high-rise,noun,a tall modern building with many floors,She lives in a high-rise overlooking the river,https://dictionary.cambridge.org/media/english/us_pron/u/usa/usa33/usa33281.mp3
storey,noun,a level of a building: ,Building heights were restricted to three storeys or 16.5 metres.,https://dictionary.cambridge.org/media/english/us_pron/s/sto/story/story.mp3
traditional,adjective,following or belonging to the customs or ways of behaving that have continued in a group of…,It also suggests that traditional ways of telling the story overlook what sustains ordinary folk intent on finding religious meaning and identity.,https://dictionary.cambridge.org/media/english/us_pron/t/tra/tradi/traditional.mp3
quaint,adjective,attractive because of being unusual and especially old-fashioned: ,In the next scene we find this quaint and otherwise forgettable metaphor developed to grotesque effect.,https://dictionary.cambridge.org/media/english/us_pron/q/qua/quain/quaint.mp3
character,noun,the particular combination of qualities in a person or place that makes them different from…,"Fourth, the experience strikes us as ineffable, that is, though you experience it as possessing various qualities, the exact qualitative character escapes description in words.",https://dictionary.cambridge.org/media/english/us_pron/c/cha/chara/character.mp3
spouse,noun,a person's husband or wife: ,"Moreover, when female members could not attend training events or visits for personal reasons, their spouses came forward to represent the families.",https://dictionary.cambridge.org/media/english/us_pron/s/spo/spous/spouse.mp3
sibling,noun,a brother or sister: ,"Information requested included ages of child, parents and siblings, and parental occupation and place of residence.",https://dictionary.cambridge.org/media/english/us_pron/s/sib/sibli/sibling.mp3
sibling rivalry,noun,competition and arguments among brothers and sisters,,
aunt,noun,"the sister of someone's father or mother, or the wife of someone's uncle or aunt: ","For instance, a quarter of the working parents reported using their children's aunts, and 10 per cent, their children's uncles when they were at work.",https://dictionary.cambridge.org/media/english/us_pron/a/aun/aunt_/aunt.mp3
uncle,noun,"the brother of someone's mother or father, or the husband of someone's aunt or uncle: ",Four uncles and three aunts had virtually no contact with nieces or nephews and rarely saw any of them.,https://dictionary.cambridge.org/media/english/us_pron/u/unc/uncle/uncle.mp3
cousin,noun,"a child of a person's aunt or uncle, or, more generally, a distant (= not close) relation: ","Most marriages, however, occur between relatives, particularly between first cousins (39-3 %), and also between those less closely related (21-3%).",https://dictionary.cambridge.org/media/english/us_pron/c/cou/cousi/cousin.mp3
niece,noun,"a daughter of your brother or sister, or a daughter of your husband's or wife's brother or…",He saw one brother weekly and was in touch with one niece regularly.,https://dictionary.cambridge.org/media/english/us_pron/n/nie/niece/niece.mp3
nephew,noun,"a son of your sister or brother, or a son of the sister or brother of your husband or wife",The maternal uncle might come and take the nephew out of his paternal household.,https://dictionary.cambridge.org/media/english/us_pron/n/nep/nephe/nephew.mp3
in-law,noun,a parent of your husband or wife or a member of his or her family,He's spending the holiday with his in-laws,
step,verb,"to move by lifting your foot and putting it down in a different place, or to put your foot on or…","These steps are here termed transportational cyclic steps, in order to distinguish them from the purely erosional cyclic steps considered below.",https://dictionary.cambridge.org/media/english/us_pron/s/ste/step_/step.mp3
counsellor,noun,someone who is trained to listen to people and give them advice about their problems: ,,https://dictionary.cambridge.org/media/english/us_pron/c/cou/couns/counselor.mp3
administrator,noun,"someone whose job is to control the operation of a business, organization, or plan: ","Second, administrators refers to heads of non-profit organizations, and their power and privileges lie in the public properties under their control.",https://dictionary.cambridge.org/media/english/us_pron/a/adm/admin/administrator.mp3
office hours,noun,the hours during the day when people who work in offices are usually at work: ,Register differences between office hours and study groups demonstrate the contextual sensitivity of certain linguistic forms and the complexity of performing speech acts.,https://dictionary.cambridge.org/media/english/us_pron/u/usa/usa33/usa33982.mp3
centre,noun,the middle point or part: ,,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70754.mp3
service,noun,a government system or private organization that is responsible for a particular type of…,,https://dictionary.cambridge.org/media/english/us_pron/s/ser/servi/service.mp3
institute,noun,"an organization where people do a particular type of scientific, educational, or social work, or…",The first is the period when a government institutes its first modern welfare policies.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75808.mp3
course,noun,"a set of classes or a plan of study on a particular subject, usually leading to an exam or…","My judgement is that such experiences are no less vivid than ordinary experience, although of course greatly reduced in informational content.",https://dictionary.cambridge.org/media/english/us_pron/c/coa/coars/coarse.mp3
